GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0051726	regulation of cell cycle	77	50	44.02	0.0891	1	BP
GO:0006468	protein phosphorylation	92	59	52.59	0.0896	1	BP
GO:0010564	regulation of cell cycle process	54	36	30.87	0.0912	1	BP
GO:0065009	regulation of molecular function	146	91	83.46	0.0914	1	BP
GO:0044782	cilium organization	25	18	14.29	0.0914	1	BP
GO:0021700	developmental maturation	33	23	18.86	0.0935	1	BP
GO:0050804	modulation of chemical synaptic transmis...	46	31	26.3	0.0962	1	BP
GO:0099177	regulation of trans-synaptic signaling	46	31	26.3	0.0962	1	BP
GO:0007264	small GTPase mediated signal transductio...	22	16	12.58	0.0985	1	BP
GO:0061138	morphogenesis of a branching epithelium	22	16	12.58	0.0985	1	BP
GO:0001763	morphogenesis of a branching structure	22	16	12.58	0.0985	1	BP
GO:0007416	synapse assembly	30	21	17.15	0.1017	1	BP
GO:0048562	embryonic organ morphogenesis	30	21	17.15	0.1017	1	BP
GO:0071695	anatomical structure maturation	30	21	17.15	0.1017	1	BP
GO:0002764	immune response-regulating signaling pat...	19	14	10.86	0.1057	1	BP
GO:0050849	negative regulation of calcium-mediated ...	4	4	2.29	0.1061	1	BP
GO:0010771	negative regulation of cell morphogenesi...	4	4	2.29	0.1061	1	BP
GO:0098927	vesicle-mediated transport between endos...	4	4	2.29	0.1061	1	BP
GO:0061844	antimicrobial humoral immune response me...	4	4	2.29	0.1061	1	BP
GO:0045670	regulation of osteoclast differentiation	4	4	2.29	0.1061	1	BP
GO:0016486	peptide hormone processing	4	4	2.29	0.1061	1	BP
GO:0030838	positive regulation of actin filament po...	4	4	2.29	0.1061	1	BP
GO:0045639	positive regulation of myeloid cell diff...	4	4	2.29	0.1061	1	BP
GO:0002920	regulation of humoral immune response	4	4	2.29	0.1061	1	BP
GO:0021885	forebrain cell migration	4	4	2.29	0.1061	1	BP
GO:0007040	lysosome organization	4	4	2.29	0.1061	1	BP
GO:0040026	positive regulation of vulval developmen...	4	4	2.29	0.1061	1	BP
GO:0099175	regulation of postsynapse organization	4	4	2.29	0.1061	1	BP
GO:0033559	unsaturated fatty acid metabolic process	4	4	2.29	0.1061	1	BP
GO:0072210	metanephric nephron development	4	4	2.29	0.1061	1	BP
GO:0106056	regulation of calcineurin-mediated signa...	4	4	2.29	0.1061	1	BP
GO:0043051	regulation of pharyngeal pumping	4	4	2.29	0.1061	1	BP
GO:0071392	cellular response to estradiol stimulus	4	4	2.29	0.1061	1	BP
GO:0007349	cellularization	4	4	2.29	0.1061	1	BP
GO:0050907	detection of chemical stimulus involved ...	4	4	2.29	0.1061	1	BP
GO:0140448	signaling receptor ligand precursor proc...	4	4	2.29	0.1061	1	BP
GO:1901976	regulation of cell cycle checkpoint	4	4	2.29	0.1061	1	BP
GO:0001967	suckling behavior	4	4	2.29	0.1061	1	BP
GO:0001953	negative regulation of cell-matrix adhes...	4	4	2.29	0.1061	1	BP
GO:0021984	adenohypophysis development	4	4	2.29	0.1061	1	BP
GO:1903393	positive regulation of adherens junction...	4	4	2.29	0.1061	1	BP
GO:0080171	lytic vacuole organization	4	4	2.29	0.1061	1	BP
GO:0048538	thymus development	4	4	2.29	0.1061	1	BP
GO:0035215	genital disc development	4	4	2.29	0.1061	1	BP
GO:0044728	DNA methylation or demethylation	4	4	2.29	0.1061	1	BP
GO:0009065	glutamine family amino acid catabolic pr...	4	4	2.29	0.1061	1	BP
GO:0031290	retinal ganglion cell axon guidance	4	4	2.29	0.1061	1	BP
GO:0003158	endothelium development	4	4	2.29	0.1061	1	BP
GO:0006378	mRNA polyadenylation	4	4	2.29	0.1061	1	BP
GO:0022029	telencephalon cell migration	4	4	2.29	0.1061	1	BP
GO:0007530	sex determination	4	4	2.29	0.1061	1	BP
GO:0045022	early endosome to late endosome transpor...	4	4	2.29	0.1061	1	BP
GO:2000001	regulation of DNA damage checkpoint	4	4	2.29	0.1061	1	BP
GO:0061063	positive regulation of nematode larval d...	4	4	2.29	0.1061	1	BP
GO:0043536	positive regulation of blood vessel endo...	4	4	2.29	0.1061	1	BP
GO:0034308	primary alcohol metabolic process	4	4	2.29	0.1061	1	BP
GO:1905477	positive regulation of protein localizat...	4	4	2.29	0.1061	1	BP
GO:0015914	phospholipid transport	4	4	2.29	0.1061	1	BP
GO:0002285	lymphocyte activation involved in immune...	4	4	2.29	0.1061	1	BP
GO:0043631	RNA polyadenylation	4	4	2.29	0.1061	1	BP
GO:0045446	endothelial cell differentiation	4	4	2.29	0.1061	1	BP
GO:0046528	imaginal disc fusion	4	4	2.29	0.1061	1	BP
GO:0046529	imaginal disc fusion, thorax closure	4	4	2.29	0.1061	1	BP
GO:2000179	positive regulation of neural precursor ...	4	4	2.29	0.1061	1	BP
GO:0006692	prostanoid metabolic process	4	4	2.29	0.1061	1	BP
GO:0006693	prostaglandin metabolic process	4	4	2.29	0.1061	1	BP
GO:0006636	unsaturated fatty acid biosynthetic proc...	4	4	2.29	0.1061	1	BP
GO:1903998	regulation of eating behavior	4	4	2.29	0.1061	1	BP
GO:0097152	mesenchymal cell apoptotic process	4	4	2.29	0.1061	1	BP
GO:2000249	regulation of actin cytoskeleton reorgan...	4	4	2.29	0.1061	1	BP
GO:0072091	regulation of stem cell proliferation	4	4	2.29	0.1061	1	BP
GO:1902692	regulation of neuroblast proliferation	4	4	2.29	0.1061	1	BP
GO:0002695	negative regulation of leukocyte activat...	4	4	2.29	0.1061	1	BP
GO:0014855	striated muscle cell proliferation	4	4	2.29	0.1061	1	BP
GO:0042694	muscle cell fate specification	4	4	2.29	0.1061	1	BP
GO:1901222	regulation of NIK/NF-kappaB signaling	4	4	2.29	0.1061	1	BP
GO:0050771	negative regulation of axonogenesis	4	4	2.29	0.1061	1	BP
GO:0070884	regulation of calcineurin-NFAT signaling...	4	4	2.29	0.1061	1	BP
GO:0009967	positive regulation of signal transducti...	81	52	46.3	0.1062	1	BP
GO:0048518	positive regulation of biological proces...	295	177	168.63	0.1089	1	BP
GO:0071805	potassium ion transmembrane transport	16	12	9.15	0.1129	1	BP
GO:0006260	DNA replication	16	12	9.15	0.1129	1	BP
GO:0043009	chordate embryonic development	40	27	22.87	0.1148	1	BP
GO:0007010	cytoskeleton organization	73	47	41.73	0.1156	1	BP
GO:0009891	positive regulation of biosynthetic proc...	115	72	65.74	0.1164	1	BP
GO:0001738	morphogenesis of a polarized epithelium	13	10	7.43	0.1194	1	BP
GO:0045637	regulation of myeloid cell differentiati...	13	10	7.43	0.1194	1	BP
GO:1902905	positive regulation of supramolecular fi...	13	10	7.43	0.1194	1	BP
GO:0051054	positive regulation of DNA metabolic pro...	13	10	7.43	0.1194	1	BP
GO:0051017	actin filament bundle assembly	13	10	7.43	0.1194	1	BP
GO:0032496	response to lipopolysaccharide	13	10	7.43	0.1194	1	BP
GO:0001678	cellular glucose homeostasis	13	10	7.43	0.1194	1	BP
GO:0035315	hair cell differentiation	13	10	7.43	0.1194	1	BP
GO:0048705	skeletal system morphogenesis	13	10	7.43	0.1194	1	BP
GO:0071326	cellular response to monosaccharide stim...	13	10	7.43	0.1194	1	BP
GO:0071331	cellular response to hexose stimulus	13	10	7.43	0.1194	1	BP
GO:0071333	cellular response to glucose stimulus	13	10	7.43	0.1194	1	BP
GO:0048665	neuron fate specification	13	10	7.43	0.1194	1	BP
GO:0006109	regulation of carbohydrate metabolic pro...	13	10	7.43	0.1194	1	BP
GO:0031503	protein-containing complex localization	13	10	7.43	0.1194	1	BP
GO:0002757	immune response-activating signal transd...	13	10	7.43	0.1194	1	BP
GO:0098916	anterograde trans-synaptic signaling	64	46	36.58	0.1203	1	BP
GO:0099536	synaptic signaling	64	46	36.58	0.1203	1	BP
GO:0099537	trans-synaptic signaling	64	46	36.58	0.1203	1	BP
