gene	degree_all	degree_in	degree_out	clustering_coefficient	degree_centrality_all	degree_centrality_in	degree_centrality_out	betweenness_centrality	closeness_centrality	eigenvector_centrality	page_rank	assortative_coefficient	average_path_length	community_random_walk	module	connectivity	participation	role	cell_type
Nvec_vc1.1_XM_048730636.1	3	3	0	0.666666666666667	0.00251466890192791	0.00251466890192791	0	0		0.0785235480780741	0.000841153764737927	-0.254662342054629	0.52124246395806	11	1	-0.104828483672193	0.666666666666667	Connector	cnidocyte
Nvec_vc1.1_XM_048729750.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0557902419888226	0.000831385954572094	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_NVE7212	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0557902419888226	0.000831385954572094	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048730158.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032377046.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0246133420538923	0.000830078923140376	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_v1g233231	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0400080548931231	0.00084887050072184	-0.254662342054629	0.52124246395806	6	0	-0.176723850197818	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_032376601.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0393813472862277	0.000830698043292242	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032381222.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0295360104646708	0.000830285296524331	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001632226.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0295360104646708	0.000830285296524331	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032381281.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0229724525836328	0.000830010132012391	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032368917.2	2	2	0	0	0.00167644593461861	0.00167644593461861	0	0		0.0508620016405706	0.000843529046871561	-0.254662342054629	0.52124246395806	5	2	-0.160128153805087	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_048731478.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0278951209944113	0.000830216505396346	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001634277.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048730901.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0229724525836328	0.000830010132012391	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032374206.2	6	6	0	0.666666666666667	0.00502933780385583	0.00502933780385583	0	0		0.139065084967189	0.000873597731592241	-0.254662342054629	0.52124246395806	11	5	-0.150829841041569	0.833333333333333	Kinless	cnidocyte
Nvec_vc1.1_XM_048731582.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0393813472862277	0.000830698043292242	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032369928.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0475857946375252	0.000831041998932168	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001626834.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0311768999349303	0.000830354087652317	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032384867.2	3	3	0	1	0.00251466890192791	0.00251466890192791	0	0		0.0427495005214649	0.000834325746304264	-0.254662342054629	0.52124246395806	12	8	-0.0652328073053438	0.666666666666667	Connector	cnidocyte
Nvec_vc1.1_XM_001624803.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0590720209293416	0.000831523536828064	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048731459.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0360995683457087	0.000830560461036272	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032384991.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0360995683457087	0.000830560461036272	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001635431.3	2	2	0	0	0.00167644593461861	0.00167644593461861	0	0		0.0561685992105098	0.000834843011383314	-0.254662342054629	0.52124246395806	11	4	-0.109943112391587	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_032385038.2	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0357882391812246	0.000844338508941334	-0.254662342054629	0.52124246395806	6	0	-0.176723850197818	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_048731740.1	3	3	0	1	0.00251466890192791	0.00251466890192791	0	0		0.0433028889858363	0.000839850714278529	-0.254662342054629	0.52124246395806	11	0	-0.176723850197818	0.666666666666667	Connector	cnidocyte
Nvec_vc1.1_XM_001636312.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001636256.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048730886.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0410222367564872	0.000830766834420227	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001624755.3	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0308352041611552	0.000831380875996398	-0.254662342054629	0.52124246395806	11	8	-0.0652328073053438	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_032372078.2	5	5	0	0.7	0.00419111483654652	0.00419111483654652	0	0		0.0643741344585181	0.000848278940508381	-0.254662342054629	0.52124246395806	11	3	-0.0758372880967521	0.72	Connector	cnidocyte
Nvec_v1g108887	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001632010.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0180497841728544	0.000829803758628436	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_v1g201852	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0213315631133733	0.000829941340884406	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001637201.3	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0451976804248681	0.000832885293304602	-0.254662342054629	0.52124246395806	11	8	-0.0652328073053438	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_001625718.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0229724525836328	0.000830010132012391	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032369963.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.070558247221158	0.00083200507472396	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001627690.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0278951209944113	0.000830216505396346	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001638101.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032362659.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0328177894051898	0.000830422878780302	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001638069.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0278951209944113	0.000830216505396346	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048732284.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0311768999349303	0.000830354087652317	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001635563.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0541493525185631	0.000831317163444109	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032376521.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0492266841077846	0.000831110790060153	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_NVE5894	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0295360104646708	0.000830285296524331	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032375257.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0278951209944113	0.000830216505396346	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001627305.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0262542315241518	0.000830147714268361	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032375084.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0246133420538923	0.000830078923140376	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048732111.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0311768999349303	0.000830354087652317	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048732663.1	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0348416780445329	0.000831340617034746	-0.254662342054629	0.52124246395806	11	8	-0.0652328073053438	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_048732681.1	3	3	0	0.333333333333333	0.00251466890192791	0.00251466890192791	0	0		0.0847935456271579	0.000837557100320996	-0.254662342054629	0.52124246395806	11	4	-0.109943112391587	0.666666666666667	Connector	cnidocyte
